name:keypoints_x:keypoints_y
0264_c3s1_061292_02.jpg:[18, 22, 40, 24, 34, 51, 32, 32, 30, 26, 51, 53, 46, 18, 3, 15]:[114, 91, 62, 62, 91, 114, 62, 25, 17, 2, 60, 47, 27, 25, 37, 33]
0380_c1s2_016991_01.jpg:[51, 51, 32, 15, 11, 11, 22, 34, 36, 38, 53, 51, 51, 18, 9, 53]:[103, 76, 95, 95, 122, 128, 95, 54, 45, 27, 103, 76, 54, 50, 64, 101]
0117_c4s1_019551_01.jpg:[46, 34, 22, 20, 44, 51, 22, 30, 34, 44, 55, 49, 36, 28, 44, 55]:[93, 58, 25, 25, 60, 64, 27, 25, 25, 8, 47, 45, 29, 23, 50, 47]
1393_c6s3_071792_02.jpg:[36, 40, 40, 26, 22, 20, 32, 34, 36, 26, 63, 59, 51, 20, 15, 9]:[111, 93, 66, 66, 93, 109, 66, 25, 17, 4, 62, 43, 23, 25, 45, 62]
0898_c6s3_093117_03.jpg:[42, 36, 40, 28, 20, 22, 34, 36, 36, 40, 51, 57, 49, 24, 5, 5]:[107, 87, 60, 58, 91, 120, 58, 25, 19, 2, 39, 41, 25, 21, 50, 62]
0204_c3s1_040676_04.jpg:[28, 26, 26, 40, 46, 26, 34, 32, 32, 36, 18, 13, 18, 44, 51, 59]:[114, 89, 64, 64, 87, 114, 64, 25, 21, 4, 62, 47, 25, 27, 47, 64]
1244_c6s3_051267_02.jpg:[11, 15, 22, 38, 53, 30, 30, 34, 36, 46, 9, 7, 18, 49, 51, 53]:[114, 91, 66, 64, 89, 107, 66, 27, 21, 6, 64, 47, 25, 29, 45, 62]
0649_c6s2_027468_01.jpg:[49, 49, 40, 26, 28, 34, 32, 32, 34, 34, 49, 57, 46, 15, 3, 1]:[111, 91, 64, 64, 93, 116, 64, 27, 19, 2, 41, 45, 27, 29, 47, 66]
0303_c3s1_067517_01.jpg:[40, 32, 38, 30, 30, 42, 34, 30, 26, 40, 55, 57, 40, 20, 13, 5]:[111, 91, 66, 64, 93, 114, 66, 25, 19, 4, 58, 39, 23, 27, 45, 58]
0622_c3s2_023087_05.jpg:[32, 30, 42, 22, 34, 32, 32, 30, 28, 24, 51, 3, 51, 20, 5, 18]:[118, 89, 60, 58, 89, 118, 60, 29, 25, 8, 105, 31, 27, 29, 29, 23]
0173_c3s3_064519_01.jpg:[30, 24, 15, 34, 40, 42, 26, 34, 34, 34, 3, 3, 9, 51, 46, 32]:[118, 99, 68, 68, 97, 126, 70, 27, 21, 4, 64, 43, 23, 27, 52, 27]
0209_c5s1_043151_03.jpg:[53, 44, 44, 26, 28, 24, 36, 36, 34, 30, 15, 53, 51, 20, 3, 15]:[114, 89, 62, 62, 89, 116, 62, 27, 19, 2, 41, 47, 27, 25, 35, 41]
0224_c1s1_056106_01.jpg:[24, 18, 22, 38, 44, 46, 30, 34, 32, 30, 7, 11, 18, 51, 59, 55]:[116, 91, 64, 66, 93, 118, 66, 29, 23, 4, 60, 45, 27, 27, 50, 66]
0665_c5s2_048055_01.jpg:[42, 49, 40, 28, 36, 42, 34, 34, 32, 18, 61, 49, 18, 18, 53, 59]:[111, 91, 72, 78, 93, 111, 76, 43, 43, 39, 74, 60, 54, 54, 52, 72]
1080_c2s2_141527_01.jpg:[40, 44, 44, 28, 15, 26, 36, 34, 30, 26, 57, 59, 53, 20, 15, 15]:[126, 95, 64, 64, 89, 111, 64, 25, 17, 2, 62, 45, 27, 27, 45, 64]
1487_c6s4_022252_03.jpg:[32, 32, 34, 22, 26, 26, 28, 38, 38, 40, 61, 61, 51, 26, 5, 26]:[126, 111, 81, 81, 109, 128, 81, 25, 19, 4, 66, 47, 25, 19, 47, 64]
0571_c1s3_021776_02.jpg:[53, 42, 32, 18, 18, 13, 24, 30, 32, 34, 53, 46, 38, 26, 24, 53]:[116, 97, 66, 68, 101, 126, 68, 33, 29, 8, 78, 52, 39, 29, 45, 78]
0444_c2s1_111291_01.jpg:[28, 30, 20, 34, 36, 46, 26, 30, 30, 32, 1, 7, 15, 44, 61, 53]:[114, 91, 56, 58, 91, 118, 58, 17, 10, 2, 54, 35, 17, 17, 25, 12]
0430_c5s1_109698_01.jpg:[18, 36, 34, 46, 44, 42, 40, 26, 28, 34, 28, 7, 11, 38, 44, 53]:[109, 93, 66, 64, 91, 118, 64, 25, 19, 2, 43, 45, 27, 25, 41, 39]
0216_c4s1_045201_03.jpg:[46, 26, 34, 22, 24, 24, 26, 36, 40, 46, 46, 40, 46, 22, 20, 38]:[76, 87, 66, 64, 87, 101, 64, 27, 19, 4, 74, 52, 29, 25, 45, 66]
0519_c5s1_143720_03.jpg:[26, 32, 44, 30, 28, 28, 28, 13, 13, 46, 44, 34, 20, 9, 34, 46]:[107, 81, 45, 72, 85, 109, 72, 27, 27, 23, 14, 19, 21, 41, 19, 17]
0818_c5s2_102277_01.jpg:[22, 26, 34, 22, 22, 22, 28, 30, 24, 18, 61, 61, 61, 15, 20, 22]:[120, 99, 76, 72, 97, 118, 74, 27, 19, 4, 68, 31, 33, 31, 54, 64]
0105_c5s1_037501_06.jpg:[38, 38, 36, 32, 38, 38, 32, 26, 24, 15, 38, 44, 34, 15, 11, 9]:[122, 120, 93, 93, 118, 122, 93, 60, 56, 41, 81, 74, 58, 60, 70, 74]
0842_c3s2_107078_04.jpg:[51, 49, 36, 20, 26, 30, 28, 28, 32, 38, 55, 59, 40, 13, 3, 9]:[118, 89, 56, 58, 91, 120, 58, 25, 19, 4, 31, 41, 27, 25, 41, 50]
1200_c4s5_037885_01.jpg:[15, 26, 32, 22, 28, 18, 26, 28, 32, 38, 46, 38, 40, 18, 18, 36]:[109, 89, 62, 64, 87, 109, 64, 27, 19, 2, 64, 47, 29, 27, 47, 62]
0214_c4s1_043501_01.jpg:[61, 44, 40, 38, 24, 15, 38, 32, 28, 20, 7, 18, 26, 40, 44, 51]:[109, 81, 60, 60, 87, 114, 60, 27, 21, 8, 56, 45, 27, 25, 43, 60]
0272_c1s1_066031_01.jpg:[44, 42, 40, 24, 22, 22, 32, 34, 30, 22, 42, 49, 51, 18, 9, 18]:[118, 91, 62, 62, 91, 118, 62, 25, 17, 2, 25, 43, 25, 27, 43, 45]
0090_c1s1_015401_02.jpg:[20, 26, 28, 22, 20, 18, 24, 26, 26, 20, 18, 32, 32, 22, 13, 15]:[109, 99, 85, 85, 99, 111, 85, 64, 62, 47, 70, 74, 64, 64, 70, 70]
